"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Transcript.ID"
"YAL020C"	161.948436937352	0.367482737740792	0.252296925854015	1.45654861428405	0.145241020917591	0.556200002943977	"YAL020C"
"YAL019W-A"	5.45863219751487	0.587116725303948	0.604024366488972	0.972008345816737	0.33104639663016	0.696800200221545	"YAL019W-A"
"YAL019W"	1224.56295223684	0.162204776604828	0.145360235448173	1.11588135575538	0.264472923429912	0.646525030860419	"YAL019W"
"YAL018C"	6.55387542322657	0.847342152459046	0.585075659620968	1.44826081640105	0.147544121726141	0.558165700045449	"YAL018C"
"YAL017W"	999.469301798668	0.109935539297193	0.143032371294432	0.76860600367794	0.442127240361242	0.746572448083312	"YAL017W"
"YAL016C-B"	0.232689243955619	0	3.84862246324055	0	1	NA	"YAL016C-B"
"YAL016C-A"	3.6751249706365	1.64662147806829	0.834407505497686	1.97340204542642	0.0484497747700531	0.351849657136406	"YAL016C-A"
"YAL016W"	2191.89446635359	-0.0375730995614836	0.144250895239353	-0.260470477490897	0.794500885117695	0.90406961268205	"YAL016W"
"YAL015C"	510.351066774535	0.291411267558065	0.141690667309451	2.05667227836274	0.0397177604821092	0.320786467868163	"YAL015C"
"YAL014C"	484.637306183989	0.0807409008665137	0.140462468079837	0.574821886374812	0.565411763173308	0.796514171152353	"YAL014C"
"YAL013W"	672.967586546083	0.210218501457554	0.15619604650431	1.34586313906321	0.178346658422942	0.592684118688547	"YAL013W"
"YAL011W"	319.5875647552	0.157441965473995	0.163528964012333	0.9627772451498	0.335659322337864	0.69974953234188	"YAL011W"
"YAL010C"	393.654163352429	0.133149989858914	0.139668937827178	0.953325713865381	0.340425066950538	0.69974953234188	"YAL010C"
"YAL009W"	308.190710210139	0.273377905251279	0.151739228536267	1.80162972942715	0.0716036806256572	0.432268773247599	"YAL009W"
"YAL008W"	208.838003865064	0.167337103643904	0.164741268021161	1.01575704529851	0.309745095625107	0.681146147329884	"YAL008W"
"YAL007C"	898.516805964275	0.0890514738632955	0.147286854970695	0.604612501781056	0.54543649795413	0.786609987063567	"YAL007C"
"YAL005C"	6745.98309382925	-0.337047298517431	0.15311903270692	-2.20121099617029	0.0277210902068174	0.269322424629899	"YAL005C"
"YAL004W"	1.71969078487928	0.205134352847169	1.14362205132735	0.179372505636	0.857645218574227	NA	"YAL004W"
