"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Transcript.ID"
"YAR019C"	390.139705789106	0.306148007107681	0.125627607075969	2.43694848794301	0.014811789183465	0.0998200786764596	"YAR019C"
"YAR019W-A"	8.20504854387064	0.276313321424227	0.557004451545255	0.496070221086514	0.619844868396376	0.687278671355414	"YAR019W-A"
"YAR020C"	7.73862683440972	0.00325798100950462	0.540382098605084	0.00602903208288102	0.995189557527147	0.99863968599838	"YAR020C"
"YAR023C"	54.5729443919527	0.329594638221468	0.236395727860319	1.39424955435835	0.163242258447165	0.290414700107756	"YAR023C"
"YAR027W"	599.200653260189	0.309534140712527	0.150784965807427	2.05281832346498	0.0400902007468071	0.16083310611453	"YAR027W"
"YAR028W"	256.25197803376	0.353308717756606	0.157041012460833	2.24978629607806	0.0244625143481078	0.12723584506846	"YAR028W"
"YAR029W"	25.2023976128629	0.640551651063637	0.351611478017204	1.82175978632955	0.0684914419512182	0.196870386025622	"YAR029W"
"YAR030C"	9.69031940798568	0.0833514565682605	0.503459090178446	0.165557556103948	0.868505151557473	0.89525931666065	"YAR030C"
"YAR031W"	67.6360198718255	0.301824376695959	0.207929974133862	1.45156742289425	0.146621922402684	0.275918213794857	"YAR031W"
"YAR033W"	97.9463017630143	0.345600491766936	0.205153180708292	1.68459728761577	0.0920662950311556	0.223699544998317	"YAR033W"
"YAR035W"	14.5494693686459	0.413560223955206	0.432135469381231	0.957015226145118	0.338559569848812	0.44058298035221	"YAR035W"
"YAR035C-A"	0.211707913772642	1.17758767353031	3.92559060687107	0.299977198709704	0.76419454795017	NA	"YAR035C-A"
"YAR042W"	1285.03256475095	0.268372527564889	0.142660592953811	1.88119593510858	0.0599452704882652	0.186671958502726	"YAR042W"
"YAR047C"	0	NA	NA	NA	NA	NA	"YAR047C"
"YAR050W"	34.0963971625954	0.80366927241634	0.298024873549174	2.69665166818277	0.00700404937050063	0.0669358245326581	"YAR050W"
"YAR053W"	2.06458971104357	1.73412576727454	1.10644797362348	1.56729083392461	0.117046726899828	NA	"YAR053W"
"YAR060C"	0	NA	NA	NA	NA	NA	"YAR060C"
"YAR064W"	0.85688458333866	1.24243681374363	2.79650587017832	0.444281854364357	0.656838818668662	NA	"YAR064W"
"YAR066W"	0	NA	NA	NA	NA	NA	"YAR066W"
"YAR068W"	0.29961288353482	2.66205327748241	3.15568016338682	0.843575121575492	0.398906871256063	NA	"YAR068W"
"YAR069C"	0	NA	NA	NA	NA	NA	"YAR069C"
"YAR070C"	0.486872765372662	-1.23227069945876	2.2538115862703	-0.546749651552716	0.584550737603969	NA	"YAR070C"
"YAR071W"	15.0193008490774	0.026206404055078	0.46658588542453	0.0561663026545128	0.955209325355245	0.965718963409276	"YAR071W"
"YAR073W"	17.6936060601572	-0.00968481970525926	0.417126080342769	-0.0232179673284894	0.981476406614942	0.988305256200017	"YAR073W"
"YAR075W"	2.97295352589174	0.515975431692248	1.1421280887026	0.45176669481824	0.651437065247378	NA	"YAR075W"
"Q0010"	3.68521139218801	0	1.75226517988411	0	1	NA	"Q0010"
"Q0017"	0	NA	NA	NA	NA	NA	"Q0017"
"Q0032"	0.617008089436188	0	2.23125577340227	0	1	NA	"Q0032"
"Q0045"	51.3887341600252	0	1.67873086681491	0	1	1	"Q0045"
"Q0070"	2.84997388047758	0	1.81347491967655	0	1	NA	"Q0070"
"Q0065"	33.6929044586696	0	1.67761305346021	0	1	1	"Q0065"
"Q0060"	57.3801384711515	0	1.67560705398665	0	1	1	"Q0060"
"Q0055"	677.760046285083	0	1.67861386457263	0	1	1	"Q0055"
"Q0050"	1419.53422576085	0.21579975042307	1.67516785459249	0.128822762346742	0.897497893855181	0.918602423537419	"Q0050"
"Q0075"	15.0672479743588	0	1.6900607979847	0	1	1	"Q0075"
"Q0080"	0.0634511033890978	0	6.00631008342226	0	1	NA	"Q0080"
"Q0085"	17.5210280700754	0	1.69246131356018	0	1	1	"Q0085"
"Q0092"	0.167951225521621	0	6.00631008342226	0	1	NA	"Q0092"
"Q0105"	50.0347409140624	-0.403858848929392	0.241913568012501	-1.66943446887825	0.0950313073183692	0.227047560076781	"Q0105"
"Q0120"	130.361583488122	-0.153581345011351	0.298240374579894	-0.514958262199369	0.606582186309224	0.676590419372658	"Q0120"
"Q0115"	4.86745541618301	0.35208952992896	0.601870966038351	0.584991717155741	0.558553286150939	NA	"Q0115"
"Q0110"	64.5873210455059	-0.378526504847307	0.223273117411191	-1.69535190459223	0.0900086838838577	0.222171280775033	"Q0110"
"Q0130"	423.975699908006	-0.125080057909223	0.169822087150493	-0.736535865316387	0.461404649250351	0.54926414034758	"Q0130"
"Q0140"	11.6677949354877	-0.108982003330692	0.393504716725909	-0.276952216068612	0.781816797464175	0.822449107853918	"Q0140"
"Q0142"	5.84114757584914	-0.510888095602563	0.532981902237538	-0.958546797663819	0.337787105366949	NA	"Q0142"
"Q0143"	4.21309439401603	-0.0440416806858893	0.626477884844216	-0.070300455532985	0.943954519943105	NA	"Q0143"
"Q0144"	0	NA	NA	NA	NA	NA	"Q0144"
"Q0160"	265.388555469778	0	1.67472708066438	0	1	1	"Q0160"
"Q0182"	11.4533816935414	0	1.70294306504593	0	1	1	"Q0182"
"Q0250"	70.6804028840792	0	1.67433855395662	0	1	1	"Q0250"
"Q0255"	5.16439674199421	0	1.73624367620484	0	1	NA	"Q0255"
"Q0275"	82.7394289258708	0	1.67323087329866	0	1	1	"Q0275"
"Q0297"	10.1504607455847	0	1.70888433271176	0	1	1	"Q0297"
