gene_id	gene_name	class	Huisinga_class
YHR007C	ERG11	CR	SAGA-dominated
YLR390W-A	CCW14	CR	
YPL226W	NEW1	TFIID	TFIID-dominated
YJR094W-A	RPL43B	TFIID	TFIID-dominated
YDL074C	BRE1	TFIID	TFIID-dominated
YER026C	CHO1	CR	TFIID-dominated
YPL239W	YAR1	TFIID	TFIID-dominated
YLR354C	TAL1	CR	TFIID-dominated
YDL137W	ARF2	TFIID	TFIID-dominated
YJR121W	ATP2	CR	TFIID-dominated
YDR487C	RIB3	CR	TFIID-dominated
YDL082W	RPL13A	TFIID	TFIID-dominated
YML126C	ERG13	TFIID	TFIID-dominated
YDR046C	BAP3	CR	SAGA-dominated
YPL154C	PEP4	CR	SAGA-dominated
YPR041W	TIF5	TFIID	TFIID-dominated
YOR293W	RPS10A	TFIID	TFIID-dominated
YDR060W	MAK21	TFIID	TFIID-dominated
YGR162W	TIF4631	TFIID	TFIID-dominated
YPL160W	CDC60	TFIID	TFIID-dominated
YDR003W-A	YDR003W-A	TFIID	
YMR142C	RPL13B	TFIID	TFIID-dominated
YDR064W	RPS13	TFIID	TFIID-dominated
YOR151C	RPB2	TFIID	TFIID-dominated
YPL093W	NOG1	TFIID	TFIID-dominated
YKL009W	MRT4	TFIID	TFIID-dominated
YMR177W	MMT1	CR	TFIID-dominated
YGR037C	ACB1	TFIID	TFIID-dominated
YCL037C	SRO9	TFIID	TFIID-dominated
YLR009W	RLP24	TFIID	TFIID-dominated
YGR285C	ZUO1	TFIID	TFIID-dominated
YKL122C	SRP21	TFIID	TFIID-dominated
YOR341W	RPA190	TFIID	TFIID-dominated
YOL058W	ARG1	CR	SAGA-dominated
YFR032C-A	RPL29	TFIID	TFIID-dominated
YCR031C	RPS14A	TFIID	TFIID-dominated
YIL069C	RPS24B	TFIID	TFIID-dominated
YNL016W	PUB1	TFIID	TFIID-dominated
YDR172W	SUP35	TFIID	TFIID-dominated
YKL196C	YKT6	TFIID	TFIID-dominated
YNL154C	YCK2	TFIID	TFIID-dominated
YMR242C	RPL20A	TFIID	TFIID-dominated
YJR088C	EMC2	TFIID	TFIID-dominated
YKL001C	MET14	TFIID	TFIID-dominated
YGR253C	PUP2	TFIID	TFIID-dominated
YOR254C	SEC63	TFIID	TFIID-dominated
YBR106W	PHO88	TFIID	TFIID-dominated
YDL097C	RPN6	TFIID	TFIID-dominated
YLR040C	AFB1	CR	TFIID-dominated
YBR283C	SSH1	TFIID	TFIID-dominated
YGR218W	CRM1	TFIID	TFIID-dominated
YNL260C	LTO1	CR	TFIID-dominated
YMR072W	ABF2	TFIID	TFIID-dominated
